source,target,amount,is_fraud
U00071,B00239,4390.54,0
U00178,B00240,10564.88,1
U00752,B00241,11326.21,0
U00535,B00242,50.03,0
U00062,B00243,15528.13,1
U00223,B00244,833.53,0
U00083,B00245,72912.96,1
U00952,B00246,1896.4,0
U00551,B00247,16286.1,1
U00756,B00248,2304.71,0
U00036,B00249,2451.55,0
U00196,B00250,1620.33,0
U00467,B00251,5139.32,0
U00660,B00252,5004.43,0
U00125,B00253,4624.45,0
U00799,B00254,392.9,0
U00596,B00255,623.94,0
U00519,B00256,325.9,0
U00480,B00257,1827.77,0
U00465,B00258,9258.93,0
U00916,B00259,6954.94,0
U00878,B00260,46188.15,1
U00870,B00261,273.78,0
U00076,B00262,11148.2,1
U00689,B00263,776.92,0
U00712,B00264,19636.78,1
U00531,B00265,20368.19,1
U00910,B00266,8685.68,1
U00670,B00267,8451.85,1
U00582,B00268,3458.07,0
U00923,B00269,1089.31,0
U00754,B00270,251.04,0
U00963,B00271,1329.95,0
U00510,B00272,37913.28,1
U00662,B00273,3456.1,0
U00329,B00274,2653.13,0
U00338,B00275,2473.93,0
U00939,B00276,232.47,0
U00860,B00277,724.27,0
U00494,B00278,219.7,0
U00865,B00279,806.9,0
U00361,B00280,151.63,0
U00464,B00281,690.69,0
U00657,B00282,1064.28,0
U00940,B00283,33496.24,1
U00241,B00284,49042.95,1
U00114,B00285,366.15,0
U00387,B00286,44488.6,1
U00870,B00287,1316.49,0
U00624,B00288,20593.21,1
U00807,B00289,2728.67,0
U00650,B00290,199.7,0
U00691,B00291,76528.03,1
U00572,B00292,12933.34,1
U00866,B00293,1600.87,0
U00184,B00294,840.73,0
U00717,B00295,3205.2,0
U00893,B00296,437.53,0
U00203,B00297,49.75,0
U00456,B00298,2539.19,0
U00648,B00299,19808.97,1
U00398,B00300,1516.02,0
U00682,B00301,12681.26,1
U00393,B00302,2718.98,0
U00380,B00303,73.76,0
U00083,B00304,5264.51,1
U00247,B00305,2158.86,0
U00386,B00306,1667.91,0
U00694,B00307,5291.61,0
U00101,B00308,1912.55,0
U00260,B00309,4501.72,0
U00267,B00310,1643.32,0
U00815,B00311,1876.28,0
U00254,B00312,38453.13,1
U00340,B00313,2153.03,0
U00118,B00314,990.29,0
U00107,B00315,1864.08,0
U00365,B00316,2223.64,0
U00817,B00317,49537.93,1
U00715,B00318,3209.76,0
U00713,B00319,823.08,1
U00901,B00320,15509.51,1
U00656,B00321,1034.66,0
U00062,B00322,7349.81,0
U00861,B00323,22563.86,1
U00961,B00324,16075.57,1
U00864,B00325,1968.53,0
U00342,B00326,692.15,0
U00388,B00327,8220.4,0
U00279,B00328,286.08,0
U00956,B00329,3792.64,0
U00245,B00330,1571.8,0
U00677,B00331,822.19,0
U00459,B00332,88.32,0
U00117,B00333,8509.49,1
U00386,B00334,737.9,0
U00667,B00335,2056.2,0
U00641,B00336,3450.96,0
U00934,B00337,1032.36,0
U00898,B00338,1882.6,0
U00632,B00339,3122.76,0
U00732,B00340,10652.95,1
U00806,B00341,1063.14,0
U00688,B00342,122.09,0
U00637,B00343,7079.82,1
U00065,B00344,5020.08,1
U00881,B00345,1070.04,0
U00520,B00346,1050.06,0
U00393,B00347,98.03,0
U00630,B00348,3494.88,0
U00732,B00349,8258.12,1
U00998,B00350,8781.17,1
U00104,B00351,12899.45,1
U00325,B00352,1035.31,0
U00991,B00353,1371.08,0
U00109,B00354,4503.0,0
U00704,B00355,2453.24,0
U00441,B00356,2078.3,0
U00891,B00357,5308.39,0
U00951,B00358,826.53,0
U00229,B00359,11878.51,1
U00409,B00360,911.09,0
U00298,B00361,2081.0,0
U00620,B00362,39194.17,1
U00085,B00363,10227.04,1
U00888,B00364,984.42,0
U00333,B00365,52768.25,1
U00789,B00366,8646.82,0
U00572,B00367,2647.54,0
U00321,B00368,206.93,0
U00870,B00369,28760.57,1
U00036,B00370,30240.54,1
U00557,B00371,1594.38,0
U00266,B00372,713.24,0
U00554,B00373,2310.96,0
U00230,B00374,4493.88,0
U00461,B00375,5227.49,1
U00618,B00376,179.08,0
U00425,B00377,86.77,0
U00807,B00378,873.31,0
U00698,B00379,119.39,0
U00907,B00380,6059.51,0
U00928,B00381,833.53,0
U00092,B00382,7455.1,1
U00956,B00383,1621.78,0
U00526,B00384,232.25,0
U00458,B00385,1628.48,0
U00648,B00386,38350.3,1
U00771,B00387,69487.74,1
U00521,B00388,46.59,0
U00908,B00389,15492.16,1
U00680,B00390,2790.58,0
U00780,B00391,7587.92,0
U00956,B00392,476.16,0
U00774,B00393,2487.28,0
U00012,B00394,5319.16,0
U00762,B00395,1483.32,0
U00008,B00396,519.18,0
U00454,B00397,1343.79,0
U00327,B00398,28730.37,1
U00467,B00399,8664.18,0
U00800,B00400,22936.43,1
U00933,B00401,755.7,0
U00150,B00402,1065.79,0
U00058,B00403,1030.63,0
U00714,B00404,2261.73,0
U00897,B00405,2444.22,0
U00774,B00406,7555.47,0
U00896,B00407,3119.45,0
U00315,B00408,10308.71,1
U00848,B00409,3368.52,0
U00289,B00410,5329.84,0
U00151,B00411,4772.3,1
U00561,B00412,496.66,0
U00102,B00413,912.36,0
U00574,B00414,54340.09,1
U00854,B00415,65665.93,1
U00918,B00416,11367.49,1
U00421,B00417,1533.58,0
U00370,B00418,14024.69,1
U00676,B00419,1211.91,0
U00030,B00420,1927.5,0
U00583,B00421,933.77,0
U00308,B00422,22066.19,1
U00707,B00423,96758.05,1
U00505,B00424,172.56,0
U00560,B00425,554.18,0
U00091,B00426,95733.91,1
U00165,B00427,3092.31,0
U00735,B00428,10163.6,1
U00647,B00429,1966.31,0
U00418,B00430,6187.09,0
U00240,B00431,626.38,0
U00812,B00432,3014.92,0
U00178,B00433,99970.97,1
U00934,B00434,73708.83,1
U00101,B00435,1177.99,0
U00418,B00436,169.05,0
U00446,B00437,337.52,0
U00969,B00438,2318.21,0
U00833,B00439,6410.11,0
U00233,B00440,114.13,0
U00086,B00441,505.26,0
U00960,B00442,3394.48,0
U00819,B00443,100.83,0
U00002,B00444,263.94,0
U00271,B00445,81766.06,1
U00726,B00446,30849.43,1
U00664,B00447,1144.36,0
U00868,B00448,220.18,0
U00671,B00449,2064.14,0
U00256,B00450,182.16,0
U00486,B00451,49648.53,1
U00111,B00452,124.19,0
U00933,B00453,451.52,0
U00785,B00454,20416.41,1
U00336,B00455,40417.2,1
U00102,B00456,36713.72,1
U00181,B00457,186.81,0
U00529,B00458,1284.32,0
U00184,B00459,6150.57,0
U00268,B00460,260.32,0
U00394,B00461,10705.62,1
U00923,B00462,1402.6,0
U00605,B00463,2195.4,1
U00967,B00464,12505.78,1
U00797,B00465,7101.91,1
U00985,B00466,35294.55,1
U00586,B00467,8303.08,0
U00094,B00468,23778.48,1
U00107,B00469,183.94,0
U00525,B00470,123.16,0
U00267,B00471,18869.45,1
U00327,B00472,16553.16,1
U00487,B00473,11.01,0
U00757,B00474,917.7,0
U00826,B00475,15924.33,1
U00811,B00476,3222.06,0
U00756,B00477,262.03,0
U00492,B00478,581.98,0
U00146,B00479,1948.54,0
U00410,B00480,10678.87,1
U00577,B00481,1167.88,0
U00821,B00482,1234.27,0
U00891,B00483,339.1,0
U00281,B00484,1054.7,0
U00052,B00485,4525.08,1
U00876,B00486,970.28,0
U00236,B00487,540.38,0
U00156,B00488,1164.18,0
U00942,B00489,13393.68,1
U00546,B00490,9787.74,1
U00905,B00491,14635.78,1
U00236,B00492,1800.74,0
U00771,B00493,2860.82,0
U00908,B00494,1379.78,0
U00802,B00495,6145.16,0
U00458,B00496,5807.63,0
U00385,B00497,6594.22,1
U00992,B00498,2429.12,0
U00067,B00499,1649.64,0
U00804,B00500,1176.81,0
U00951,B00501,418.67,0
U00519,B00502,8291.23,1
U00751,B00503,1734.11,0
U00087,B00504,45943.5,1
U00987,B00505,2831.44,0
U00838,B00506,472.38,0
U00225,B00507,2084.28,0
U00379,B00508,1016.48,0
U00860,B00509,20448.94,1
U00460,B00510,1186.91,0
U00651,B00511,2593.61,0
U00109,B00512,405.14,0
U00324,B00513,3909.35,0
U00244,B00514,11611.09,1
U00631,B00515,24283.52,1
U00210,B00516,5295.31,0
U00512,B00517,37152.11,1
U00395,B00518,1467.72,0
U00748,B00519,14585.82,1
U00571,B00520,1206.53,0
U00716,B00521,1516.26,0
U00823,B00522,2781.63,0
U00985,B00523,278.59,0
U00814,B00524,68.17,0
U00830,B00525,1228.9,0
U00507,B00526,781.15,0
U00177,B00527,392.94,0
U00757,B00528,2328.19,0
U00594,B00529,2697.5,0
U00641,B00530,496.68,0
U00775,B00531,1455.22,0
U00908,B00532,22859.43,1
U00400,B00533,16466.1,1
U00045,B00534,1475.4,0
U00575,B00535,572.0,0
U00196,B00536,3409.02,0
U00693,B00537,1103.97,0
U00397,B00538,1204.09,0
U00071,B00539,46400.23,1
U00094,B00540,25968.62,1
U00712,B00541,69868.01,1
U00248,B00542,1991.98,0
U00357,B00543,3239.87,0
U00428,B00544,1508.4,0
U00161,B00545,7870.06,1
U00917,B00546,35591.82,1
U00105,B00547,2950.43,0
U00003,B00548,405.65,0
U00416,B00549,1001.24,0
U00986,B00550,659.36,0
U00780,B00551,338.68,0
U00746,B00552,3841.25,0
U00266,B00553,4369.89,0
U00602,B00554,11684.34,1
U00598,B00555,18168.4,1
U00732,B00556,1772.91,0
U00205,B00557,2690.65,0
U00102,B00558,1280.31,0
U00465,B00559,342.85,0
U00421,B00560,6325.63,1
U00108,B00561,733.65,0
U00883,B00562,362.95,0
U00968,B00563,1252.19,0
U00737,B00564,18620.04,1
U00708,B00565,2760.69,0
U00232,B00566,2275.28,0
U00035,B00567,3419.95,0
U00085,B00568,7082.96,0
U00733,B00569,5741.91,1
U00760,B00570,605.19,0
U00624,B00571,1281.19,0
U00328,B00572,22117.78,1
U00159,B00573,5707.97,0
U00131,B00574,595.0,0
U00505,B00575,1809.82,0
U00615,B00576,5272.82,0
U00536,B00577,1538.97,0
U00511,B00578,497.75,0
U00298,B00579,9764.62,1
U00366,B00580,1155.31,0
U00620,B00581,1309.73,0
U00876,B00582,1367.24,0
U00911,B00583,36306.49,1
U00947,B00584,2518.04,0
U00076,B00585,953.05,0
U00885,B00586,11537.4,0
U00352,B00587,2173.01,0
U00707,B00588,208.66,0
U00224,B00589,76696.39,1
U00369,B00590,89690.88,1
U00441,B00591,2739.39,0
U00877,B00592,16599.53,1
U00314,B00593,3539.48,0
U00434,B00594,1124.43,0
U00193,B00595,98.84,0
U00051,B00596,697.14,0
U00496,B00597,48512.21,1
U00641,B00598,288.48,0
U00344,B00599,459.63,0
U00651,B00600,7557.56,0
U00508,B00601,697.8,0
U00600,B00602,266.18,0
U00975,B00603,607.43,0
U00361,B00604,130.01,0
U00870,B00605,33991.34,1
U00586,B00606,2645.7,0
U00499,B00607,795.51,0
U00789,B00608,1585.15,0
U00497,B00609,2426.58,0
U00294,B00610,1085.53,0
U00662,B00611,1301.08,0
U00101,B00612,1744.66,0
U00543,B00613,1739.11,0
U00291,B00614,37167.62,1
U00668,B00615,1257.71,0
U00457,B00616,76099.18,1
U00262,B00617,474.56,0
U00193,B00618,7157.15,1
U00017,B00619,1368.04,0
U00650,B00620,3956.02,0
U00858,B00621,1215.08,0
U00597,B00622,2676.44,0
U00097,B00623,3999.19,0
U00274,B00624,16567.26,1
U00920,B00625,31172.18,1
U00204,B00626,650.06,0
U00128,B00627,1220.48,0
U00988,B00628,6513.67,0
U00596,B00629,252.25,0
U00917,B00630,22981.68,1
U00366,B00631,16057.82,1
U00918,B00632,9570.36,1
U00025,B00633,463.11,0
U00516,B00634,772.68,0
U00099,B00635,2113.2,0
U00224,B00636,1598.61,0
U00988,B00637,4265.6,0
U00457,B00638,6026.96,1
U00589,B00639,2672.11,0
U00193,B00640,422.01,0
U00237,B00641,1833.04,0
U00840,B00642,2369.95,0
U00884,B00643,3418.29,0
U00384,B00644,27120.34,1
U00991,B00645,834.6,0
U00562,B00646,22224.1,1
U00809,B00647,6058.77,0
U00054,B00648,1770.41,0
U00567,B00649,1338.77,0
U00357,B00650,6587.4,1
U00922,B00651,917.69,0
U00333,B00652,2805.39,0
U00146,B00653,1809.92,0
U00983,B00654,1161.52,0
U00088,B00655,46726.98,1
U00807,B00656,1708.49,0
U00825,B00657,8421.89,1
U00178,B00658,465.23,0
U00499,B00659,2028.88,0
U00177,B00660,1193.68,0
U00913,B00661,3754.18,0
U00766,B00662,1619.52,0
U00565,B00663,20647.28,1
U00748,B00664,10190.85,1
U00966,B00665,561.08,0
U00921,B00666,2503.47,0
U00641,B00667,1066.83,0
U00564,B00668,1582.54,0
U00439,B00669,673.32,0
U00912,B00670,960.37,0
U00570,B00671,1377.76,0
U00656,B00672,3267.91,0
U00247,B00673,1456.96,0
U00893,B00674,97054.04,1
U00245,B00675,5726.0,0
U00368,B00676,3264.06,0
U00781,B00677,7846.22,0
U00821,B00678,1249.91,0
U00236,B00679,578.74,0
U00921,B00680,1241.75,0
U00498,B00681,2418.53,0
U00336,B00682,936.79,0
U00875,B00683,1168.8,0
U00102,B00684,1655.5,0
U00624,B00685,7416.15,0
U00282,B00686,1751.79,0
U00033,B00687,574.11,0
U00429,B00688,1284.8,0
U00531,B00689,1007.12,0
U00591,B00690,6315.51,0
U00056,B00691,3029.24,0
U00601,B00692,2590.17,0
U00916,B00693,276.55,0
U00521,B00694,76936.8,1
U00626,B00695,33490.24,1
U00132,B00696,963.32,0
U00271,B00697,8111.95,1
U00420,B00698,93147.55,1
U00892,B00699,622.66,0
U00178,B00700,2170.69,0
U00701,B00701,7472.76,0
U00749,B00702,705.2,0
U00935,B00703,3579.66,1
U00050,B00704,19050.35,1
U00285,B00705,507.16,0
U00908,B00706,1751.18,0
U00287,B00707,990.83,0
U00700,B00708,1007.07,0
U00020,B00709,11459.65,0
U00904,B00710,2263.49,0
U00265,B00711,1217.49,0
U00225,B00712,47368.47,1
U00192,B00713,1193.99,0
U00062,B00714,2036.58,0
U00459,B00715,472.54,0
U00285,B00716,4458.15,0
U00433,B00717,19.5,0
U00310,B00718,57215.01,1
U00303,B00719,2791.77,0
U00280,B00720,113.99,0
U00439,B00721,1783.49,0
U00781,B00722,1068.67,0
U00551,B00723,16668.75,1
U00552,B00724,30466.86,1
U00652,B00725,32089.44,1
U00486,B00726,12.93,0
U00283,B00727,2130.61,0
U00275,B00728,76.58,0
U00383,B00729,6622.15,1
U00957,B00730,17785.07,1
U00097,B00731,241.67,0
U00659,B00732,1923.19,0
U00329,B00733,618.15,0
U00142,B00734,732.79,0
U00517,B00735,1478.87,0
U00414,B00736,4127.05,1
U00945,B00737,1174.12,0
U00466,B00738,792.44,0
U00800,B00739,7558.93,0
U00215,B00740,48653.14,1
U00842,B00741,981.32,0
U00183,B00742,1959.02,0
U00821,B00743,12904.25,1
U00583,B00744,4927.73,0
U00086,B00745,2065.89,0
U00206,B00746,295.82,0
U00898,B00747,4482.06,0
U00579,B00748,3832.2,0
U00594,B00749,593.28,0
U00052,B00750,1815.29,0
U00321,B00751,1921.27,0
U00351,B00752,1289.01,0
U00216,B00753,230.08,0
U00589,B00754,3277.47,0
U00614,B00755,612.26,0
U00580,B00756,1135.57,0
U00136,B00757,5679.17,0
U00279,B00758,650.21,0
U00094,B00759,3740.96,0
U00143,B00760,140.13,0
U00146,B00761,38595.5,1
U00313,B00762,78246.56,1
U00141,B00763,1668.52,0
U00633,B00764,17306.95,1
U00544,B00765,33795.7,1
U00070,B00766,1203.14,0
U00797,B00767,626.04,0
U00573,B00768,3181.02,0
U00591,B00769,251.97,0
U00996,B00770,42199.01,1
U00102,B00771,473.44,0
U00959,B00772,13443.45,1
U00568,B00773,20912.91,1
U00323,B00774,2201.35,0
U00602,B00775,714.09,0
U00367,B00776,3170.27,0
U00846,B00777,16334.58,1
U00991,B00778,3382.23,1
U00447,B00779,271.19,0
U00066,B00780,572.39,0
U00247,B00781,2819.65,0
U00096,B00782,1570.8,0
U00612,B00783,15619.56,1
U00882,B00784,1024.88,0
U00740,B00785,888.32,0
U00206,B00786,741.98,0
U00902,B00787,3682.81,0
U00488,B00788,477.42,0
U00694,B00789,183.54,0
U00608,B00790,3785.31,0
U00549,B00791,414.35,0
U00613,B00792,565.13,0
U00115,B00793,1157.56,0
U00114,B00794,22719.59,1
U00933,B00795,2766.92,0
U00027,B00796,12761.03,1
U00244,B00797,31745.38,1
U00426,B00798,2266.77,0
U00321,B00799,2279.82,1
U00739,B00800,197.86,0
U00622,B00801,297.0,0
U00552,B00802,1344.92,0
U00186,B00803,1066.3,0
U00614,B00804,1223.57,0
U00211,B00805,39028.72,1
U00967,B00806,4354.37,1
U00207,B00807,10622.5,1
U00171,B00808,2948.51,0
U00548,B00809,2234.68,0
U00263,B00810,151.15,0
U00909,B00811,2343.78,0
U00051,B00812,861.2,0
U00482,B00813,243.21,0
U00345,B00814,2210.33,1
U00712,B00815,651.04,0
U00943,B00816,450.73,0
U00038,B00817,384.38,0
U00064,B00818,28352.45,1
U00072,B00819,7350.31,0
U00745,B00820,5329.06,0
U00696,B00821,1362.76,0
U00550,B00822,1108.03,0
U00580,B00823,2914.36,0
U00053,B00824,2235.97,0
U00537,B00825,338.61,0
U00884,B00826,42322.37,1
U00712,B00827,9592.45,0
U00821,B00828,2186.11,0
U00176,B00829,56306.25,1
U00655,B00830,1591.63,0
U00883,B00831,1565.59,0
U00952,B00832,26834.18,1
U00718,B00833,5660.87,1
U00919,B00834,2551.37,0
U00457,B00835,36575.62,1
U00693,B00836,1917.02,0
U00100,B00837,38550.53,1
U00573,B00838,30339.3,1
U00334,B00839,942.57,0
U00829,B00840,865.93,0
U00019,B00841,23196.62,1
U00636,B00842,688.72,0
U00256,B00843,1412.86,0
U00615,B00844,5907.82,1
U00778,B00845,2705.72,0
U00301,B00846,948.22,0
U00182,B00847,1260.51,0
U00189,B00848,1941.69,0
U00243,B00849,52855.43,1
U00994,B00850,1006.36,1
U00269,B00851,2630.44,0
U00939,B00852,144.05,0
U00384,B00853,8120.95,0
U00578,B00854,1433.63,0
U00832,B00855,2980.85,0
U00508,B00856,1850.33,0
U00127,B00857,35505.77,1
U00299,B00858,22628.27,1
U00841,B00859,11634.79,1
U00141,B00860,48630.87,1
U00709,B00861,26610.66,1
U00785,B00862,7428.39,1
U00201,B00863,2252.19,0
U00209,B00864,2821.36,0
U00009,B00865,4385.96,0
U00770,B00866,2194.11,0
U00004,B00867,2868.45,0
U00632,B00868,3825.92,0
U00703,B00869,14830.17,1
U00270,B00870,33954.46,1
U00395,B00871,20732.99,1
U00291,B00872,60016.8,1
U00374,B00873,1963.59,0
U00935,B00874,41608.16,1
U00552,B00875,1502.74,0
U00444,B00876,3195.35,1
U00870,B00877,6505.74,0
U00656,B00878,943.43,0
U00961,B00879,20185.59,1
U00624,B00880,6479.1,1
U00284,B00881,1699.64,0
U00689,B00882,12252.63,0
U00315,B00883,941.21,0
U00233,B00884,4591.79,0
U00252,B00885,36635.92,1
U00859,B00886,5587.15,1
U00194,B00887,21132.58,1
U00639,B00888,12864.74,1
U00487,B00889,2790.47,0
U00689,B00890,3406.17,0
U00674,B00891,2666.16,0
U00481,B00892,49021.9,1
U00356,B00893,1328.82,0
U00911,B00894,1854.61,0
U00573,B00895,2234.6,0
U00074,B00896,7392.64,1
U00061,B00897,36233.84,1
U00582,B00898,2521.94,1
U00358,B00899,5974.94,0
U00456,B00900,12219.39,1
U00378,B00901,398.57,0
U00171,B00902,1423.89,0
U00658,B00903,116.19,0
U00378,B00904,249.78,0
U00949,B00905,2275.55,0
U00529,B00906,154.19,0
U00803,B00907,1536.74,0
U00000,B00908,31042.2,1
U00706,B00909,185.68,0
U00616,B00910,210.76,0
U00068,B00911,1538.11,0
U00425,B00912,593.37,0
U00665,B00913,719.66,0
U00593,B00914,268.23,0
U00673,B00915,42660.62,1
U00213,B00916,4391.12,0
U00280,B00917,1460.56,0
U00938,B00918,590.3,0
U00102,B00919,23.84,0
U00474,B00920,1831.6,0
U00534,B00921,1327.88,0
U00825,B00922,985.69,0
U00419,B00923,2401.31,0
U00898,B00924,4488.71,0
U00635,B00925,1048.41,0
U00721,B00926,61311.9,1
U00135,B00927,53669.57,1
U00845,B00928,648.99,0
U00802,B00929,1835.56,1
U00775,B00930,95346.79,1
U00947,B00931,279.94,0
U00043,B00932,632.82,0
U00090,B00933,1501.79,1
U00520,B00934,61392.0,1
U00484,B00935,475.08,0
U00684,B00936,1157.79,0
U00707,B00937,1230.45,0
U00825,B00938,5891.2,0
U00879,B00939,1863.76,0
U00317,B00940,2264.34,0
U00882,B00941,5013.44,0
U00206,B00942,2085.37,0
U00921,B00943,3095.54,0
U00567,B00944,3617.65,0
U00868,B00945,1526.04,0
U00809,B00946,1011.65,0
U00904,B00947,1064.97,0
